model,auc,pr_auc,brier,precision,recall,tn,fp,fn,tp
lagged_volatility_logistic,0.9976407419459812,0.976077285025416,0.0183979739580812,1.0,0.8214285714285714,439,0,5,23
gradient_boosting,0.9945493003579564,0.9573839553638408,0.0113172239712302,0.96,0.8571428571428571,438,1,4,24
quantum_vqc_4_qubits,0.9262935242434103,0.8562799919353284,0.048358790544046605,0.0,0.0,439,0,28,0
