model,auc,pr_auc,brier,precision,recall,tn,fp,fn,tp
lagged_volatility_logistic,0.9976407419459811,0.9760772850254159,0.018397973958081293,1.0,0.8214285714285714,439,0,5,23
gradient_boosting,0.9945493003579563,0.9573839553638409,0.011317223971230226,0.96,0.8571428571428571,438,1,4,24
