Date,portfolio_vol,vix,yield_spread,momentum,stress
2019-02-01,0.16871902741564,16.56999969482422,0.2950000762939453,0.03553493135548491,0
2019-02-04,0.14379755440425596,16.139999389648438,0.3510000705718994,0.028601311495270565,0
2019-02-05,0.10556969897472028,15.729999542236328,0.38899993896484375,0.020562458744051382,0
2019-02-06,0.10503048343513836,15.56999969482422,0.336999893188477,0.036838102178813115,0
2019-02-07,0.10387451950240227,15.380000114440918,0.336999893188477,0.03350053681966192,0
2019-02-08,0.10999169201548044,16.3700008392334,0.2969999313354492,0.024571267083616233,0
2019-02-11,0.10973041891759223,15.720000267028809,0.2669999599456787,0.019763317219224197,0
2019-02-12,0.10933664503490034,15.970000267028809,0.28600001335144043,0.02863823076676364,0
2019-02-13,0.10969769664757646,15.43000030517578,0.3059999942779541,0.04009444338938151,0
2019-02-14,0.10739132590650435,15.649999618530272,0.33500003814697266,0.029319160697334867,0
2019-02-15,0.10953954468472024,16.219999313354492,0.2840001583099361,0.017183092232322617,0
2019-02-19,0.11276847656620641,14.90999984741211,0.2960000038146977,0.027968412488176053,0
2019-02-20,0.10499783160420013,14.880000114440918,0.2740001678466797,0.024135768612860042,0
2019-02-21,0.0894460159090642,14.020000457763672,0.2710001468658447,0.02336159865430143,0
2019-02-22,0.09203086371373075,14.460000038146973,0.2929999828338623,0.020794424537828426,0
2019-02-25,0.09209312306685455,13.510000228881836,0.26200008392333984,0.03315935409552195,0
2019-02-26,0.09213116453701074,14.850000381469728,0.2800002098083496,0.03265748923714806,0
2019-02-27,0.08668285582178986,15.170000076293944,0.2359998226165767,0.029399210233995943,0
2019-02-28,0.0867362384904164,14.699999809265137,0.3000001907348633,0.017897993906251353,0
2019-03-01,0.0770515075419512,14.779999732971191,0.3280000686645508,0.01195137173587768,0
2019-03-04,0.07524707386857558,13.56999969482422,0.377000093460083,0.022201530612813603,0
2019-03-05,0.07783173420329123,14.630000114440918,0.3469998836517334,0.0067125925215218984,0
2019-03-06,0.07729290534800363,14.739999771118164,0.3219997882843013,0.00248412735730974,0
2019-03-07,0.08207655559318452,15.739999771118164,0.2869999408721924,-0.006825810465373561,0
2019-03-08,0.08641332595165221,16.59000015258789,0.24099993705749512,-0.010562411678197714,0
2019-03-11,0.08253074315438148,16.049999237060547,0.23200011253356934,-0.01832758300655335,0
2019-03-12,0.0927731304229017,14.329999923706056,0.2629997730255127,-0.0059757016551315045,0
2019-03-13,0.09293515611150732,13.770000457763672,0.21000003814697266,-0.0018110152621951814,0
2019-03-14,0.08668413394028666,13.40999984741211,0.223000049591064,0.0042194087476770115,0
2019-03-15,0.08621563081837752,13.5,0.24200010299682617,0.006038192924056274,0
2019-03-18,0.0856327505733295,12.880000114440918,0.2049999237060547,0.0035973411604375283,0
2019-03-19,0.07820921751100032,13.100000381469728,0.21700000762939498,0.012820989878772782,0
2019-03-20,0.07852255353213024,13.5600004196167,0.2090001106262207,0.013482403519046171,0
2019-03-21,0.07972735135753367,13.90999984741211,0.12700009346008345,0.01679850552900386,0
2019-03-22,0.08501148294580332,13.630000114440918,0.12899994850158736,0.033892294453720107,0
2019-03-25,0.10468686877492372,16.479999542236328,0.056999921798706055,0.020063723072739847,0
2019-03-26,0.10468920736906595,16.329999923706055,0.029999971389770508,0.007594293837646093,0
2019-03-27,0.10834770828048004,14.68000030517578,0.009000062942504883,0.012802392091471493,0
2019-03-28,0.10988493049247368,15.149999618530272,-0.003999948501586914,0.0014796886754049332,0
2019-03-29,0.10996228116992436,14.43000030517578,0.019000053405762163,0.0049441757516841545,0
2019-04-01,0.10959875369316827,13.710000038146973,0.08599996566772461,0.006892427860883066,0
2019-04-02,0.11258389095003131,13.399999618530272,0.17400002479553223,0.010693837492821379,0
2019-04-03,0.11246535042862507,13.359999656677246,0.11100006103515625,0.010363070714417333,0
2019-04-04,0.10860843722806235,13.739999771118164,0.14400005340576172,0.013699347476322732,0
2019-04-05,0.10402084303347689,13.579999923706056,0.1420001983642578,0.006679509879873091,0
2019-04-08,0.10321531975157776,12.81999969482422,0.13100004196166992,0.030393517477698362,0
2019-04-09,0.09610067593150437,13.18000030517578,0.15400004386901855,0.030811235813987592,0
2019-04-10,0.10013967713228795,14.279999732971191,0.13400006294250488,0.016186336719217875,0
2019-04-11,0.09831533206981245,13.300000190734863,0.11400008201599166,0.023219384886492556,0
2019-04-12,0.09815455029773097,13.020000457763672,0.13899993896484375,0.021240854788924235,0
2019-04-15,0.09883046633827154,12.010000228881836,0.18499994277954102,0.020622059948184557,0
2019-04-16,0.09788737553662083,12.31999969482422,0.19300007820129395,0.010432131178311987,0
2019-04-17,0.09748728698986318,12.18000030517578,0.21399998664855957,0.012628949775818965,0
2019-04-18,0.09672942567593137,12.600000381469728,0.21199989318847656,0.010674666520767317,0
2019-04-22,0.09124117991725808,12.09000015258789,0.19499993324279785,0.008992547477739476,0
2019-04-23,0.0639514514515892,12.420000076293944,0.21499991416931152,0.004154215002882156,0
2019-04-24,0.06584655805348562,12.279999732971191,0.17999982833862305,0.009937191558545777,0
2019-04-25,0.0628341367569504,13.140000343322754,0.14700007438659668,0.014557671772294167,0
2019-04-26,0.06038423817376745,13.25,0.16899991035461426,0.00986034949213277,0
2019-04-29,0.06051731756854579,12.729999542236328,0.14500021934509277,0.012173527931285788,0
2019-04-30,0.05804530090129031,13.109999656677246,0.17600011825561523,0.00660134030805648,0
2019-05-01,0.05167201580476098,13.119999885559082,0.14100003242492676,0.012123633984282955,0
2019-05-02,0.06279630272084782,14.800000190734863,0.14800000190734863,0.002355912499381274,0
2019-05-03,0.0637418723986709,14.420000076293944,0.1790001392364502,0.0020978502322293036,0
2019-05-06,0.07006203749524094,12.869999885559082,0.16299986839294434,0.009973963459103397,0
2019-05-07,0.06880223005232097,15.4399995803833,0.13700008392333984,0.004313273545343721,0
2019-05-08,0.0863606255369129,19.31999969482422,0.07999992370605469,-0.01638713526948843,0
2019-05-09,0.08381862850704144,19.399999618530277,0.1120002269744873,-0.016622345950712436,0
2019-05-10,0.08372803826054778,19.100000381469727,0.08700013160705566,-0.016773677001402754,0
2019-05-13,0.08684851090454171,16.040000915527344,0.08500003814697266,-0.014089177114529838,0
2019-05-14,0.10901354865929047,20.549999237060547,0.05500006675720215,-0.03399407406674171,0
2019-05-15,0.11346541885363196,18.059999465942383,0.0659999847412105,-0.03130351434815537,0
2019-05-16,0.11458418556714771,16.440000534057617,0.029000043869018555,-0.01867632155211374,0
2019-05-17,0.11876183965462374,15.289999961853027,0.06699991226196245,-0.00819862403005156,0
2019-05-20,0.12002027106787823,15.960000038146973,0.06299996376037598,-0.02246473438660257,0
2019-05-21,0.12006752895762739,16.309999465942383,0.09599995613098189,-0.021943458804825844,0
2019-05-22,0.12122211032658081,14.949999809265137,0.09600019454956055,-4.9073566837032345e-05,0
2019-05-23,0.12155301240856561,14.75,0.07299995422363281,-0.001631317484986683,0
2019-05-24,0.1266957645442486,16.920000076293945,-0.006999969482421875,-0.010135569409947864,0
2019-05-28,0.12578149536790217,15.850000381469728,0.03599977493286133,-0.01509741618558802,0
2019-05-29,0.1300064802128555,17.5,-0.03000020980834961,-0.0060477848476960805,0
2019-05-30,0.12874897005578667,17.899999618530273,-0.06200003623962447,-0.020540133164030916,0
2019-05-31,0.12690010846407748,17.299999237060547,-0.0829999446868892,-0.023090372079209942,0
2019-06-03,0.1313398187424237,18.709999084472656,-0.1510000228881836,-0.042274222172176024,0
2019-06-04,0.12600538851496668,18.86000061035156,-0.19899988174438477,-0.03397706595078276,0
2019-06-05,0.14852862876024822,16.969999313354492,-0.17600011825561523,-0.011904323279611329,0
2019-06-06,0.14434881422320475,16.09000015258789,-0.16200017929077148,-0.011771589056690734,0
2019-06-07,0.14724021657163106,15.93000030517578,-0.13100004196166992,-0.0006410296509109514,0
2019-06-10,0.14907233567293884,16.299999237060547,-0.13099980354309082,0.01764354163224735,0
2019-06-11,0.14793535607124067,15.9399995803833,-0.07700014114379838,0.019927569201331208,0
2019-06-12,0.12741004583245116,15.989999771118164,-0.07299995422363326,0.030342487078804714,0
2019-06-13,0.12543559505304636,15.90999984741211,-0.03799986839294478,0.03673949658158526,0
2019-06-14,0.1256673009800153,15.81999969482422,-0.04900002479553223,0.04015008835289202,0
2019-06-17,0.12269408546984228,15.279999732971191,-0.032000064849853516,0.05155856251630597,0
2019-06-18,0.12080499653321013,15.350000381469728,-0.05200004577636719,0.047709469314352715,0
2019-06-19,0.12325149306162478,15.149999618530272,-0.10800004005432129,0.036917270581665385,0
2019-06-20,0.12099834192296095,14.329999923706056,-0.09599995613098145,0.0316597399929357,0
2019-06-21,0.12436443023754233,14.75,-0.07700014114379883,0.034483069061707505,0
2019-06-24,0.11542888465612994,15.399999618530272,0.013000011444091797,0.026643347797439043,0
2019-06-25,0.11665437138007921,15.260000228881836,-0.037000179290771484,0.0204202896636827,0
